;solvent_names;solvent_class;base_names;base_class;temperature;ligand;Pd source;yield;article;reaction_smiles;boronate;bromide;condition_string
12308;N,N-dimethyl-formamide,,water;polar;potassium phosphate;phosphate;85;PPh3;Pd[P(Ph)3]4;30.0;"Article; Gerritz, Samuel W.; Zhai, Weixu; Shi, Shuhao; Zhu, Shirong; Toyn, Jeremy H.; Meredith, Jere E.; Iben, Lawrence G.; Burton, Catherine R.; Albright, Charles F.; Good, Andrew C.; Cook, Lynda S.; Padmanabha, Ramesh; Lentz, Kimberley A.; Sofia, Michael J.; MacOr, John E.; Thompson, Lorin A.; Tebben, Andrew J.; Muckelbauer, Jodi K.; Camac, Daniel M.; Metzler, William; Poss, Michael A.; Journal of Medicinal Chemistry; vol. 55; 21; (2012); p. 9208 - 9223,16;; ; Article; Gerritz, Samuel W.; Zhai, Weixu; Shi, Shuhao; Zhu, Shirong; Toyn, Jeremy H.; Meredith, Jere E.; Iben, Lawrence G.; Burton, Catherine R.; Albright, Charles F.; Good, Andrew C.; Tebben, Andrew J.; Muckelbauer, Jodi K.; Camac, Daniel M.; Metzler, William; Cook, Lynda S.; Padmanabha, Ramesh; Lentz, Kimberley A.; Sofia, Michael J.; Poss, Michael A.; MacOr, John E.; Thompson, Lorin A.; Journal of Medicinal Chemistry; vol. 55; 21; (2012); p. 9208 - 9223;";OB(O)C1=CSC=C1.COC1=CC=C(C=C1)C1=NOC(C)=C1C(=O)N=C(N)NCC1=CC(Cl)=CC(Br)=C1>>COC1=CC=C(C=C1)C1=NOC(C)=C1C(=O)N=C(N)NCC1=CC(Cl)=CC(=C1)C1=CSC=C1;OB(O)C1=CSC=C1;COC1=CC=C(C=C1)C1=NOC(C)=C1C(=O)N=C(N)NCC1=CC(Cl)=CC(Br)=C1;DMF:water,,K3PO4,,PPh3
12320;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;95;PPh3;palladium diacetate;80.0;"Article; Dhara, Shubhendu; Singha, Raju; Ahmed, Atiur; Mandal, Haridas; Ghosh, Munmun; Nuree, Yasin; Ray, Jayanta K.; RSC Advances; vol. 4; 85; (2014); p. 45163 - 45167;";CC1=CC=C(C=C1)S(=O)(=O)NC1=C(I)C=C(C)C=C1C.OB(O)C1=CC(Cl)=NC=C1>>CC1=CC=C(C=C1)S(=O)(=O)NC1=C(C=C(C)C=C1C)C1=CC(Cl)=NC=C1;OB(O)C1=CC(Cl)=NC=C1;CC1=CC=C(C=C1)S(=O)(=O)NC1=C(I)C=C(C)C=C1C;1,4-dioxane:water,,Na2CO3,,PPh3
12321;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;95;PPh3;palladium diacetate;75.0;"Article; Dhara, Shubhendu; Singha, Raju; Ahmed, Atiur; Mandal, Haridas; Ghosh, Munmun; Nuree, Yasin; Ray, Jayanta K.; RSC Advances; vol. 4; 85; (2014); p. 45163 - 45167;";CC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=C1I.OB(O)C1=CC(Cl)=NC=C1>>CC1=CC=C(C=C1)S(=O)(=O)NC1=C(C=CC=C1)C1=CC(Cl)=NC=C1;OB(O)C1=CC(Cl)=NC=C1;CC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=C1I;1,4-dioxane:water,,Na2CO3,,PPh3
12325;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;80.0;"Article; Gloaguen, Celine; Voisin-Chiret, Anne Sophie; Sopkova-De Oliveira Santos, Jana; Fogha, Jade; Gautier, Fabien; De Giorgi, Marcella; Burzicki, Gregory; Perato, Serge; Petigny-Lechartier, Cecile; Simonin-Le Jeune, Karin; Brotin, Emilie; Goux, Didier; N'Diaye, Monique; Lambert, Bernard; Louis, Marie-Helene; Ligat, Laetitia; Lopez, Frederic; Juin, Philippe; Bureau, Ronan; Rault, Sylvain; Poulain, Laurent; Journal of Medicinal Chemistry; vol. 58; 4; (2015); p. 1644 - 1668;";BrC1=CC(C=O)=C(Br)C=C1.OB(O)C1=CC=CN=C1>>BrC1=CC(C=O)=C(C=C1)C1=CC=CN=C1;OB(O)C1=CC=CN=C1;BrC1=CC(C=O)=C(Br)C=C1;1,4-dioxane:water,,Na2CO3,,PPh3
12345;N,N-dimethyl-formamide,,water;polar;potassium phosphate;phosphate;150;PPh3;Pd[P(Ph)3]4;80.0;"Article; Lu, Xiao; Kim, Myunghoon; Orr, Meghan J.; Li, Hao; Huang, Wenwei; European Journal of Organic Chemistry; vol. 2018; 13; (2018); p. 1572 - 1580;";OB(O)C1=CSC=C1.COC1=CC=C(C=C1)N1C(=O)N(C)C2=C1C1=CC(Br)=CC=C1N=C2>>COC1=CC=C(C=C1)N1C(=O)N(C)C2=C1C1=C(C=CC(=C1)C1=CSC=C1)N=C2;OB(O)C1=CSC=C1;COC1=CC=C(C=C1)N1C(=O)N(C)C2=C1C1=CC(Br)=CC=C1N=C2;DMF:water,,K3PO4,,PPh3
12349;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;35.0;"Article; Wang, Xia; Tang, Yue; Long, Cheng-Yu; Dong, Wen-Ke; Li, Chenchen; Xu, Xinhua; Zhao, Wanxiang; Wang, Xue-Qiang; Organic Letters; vol. 20; 16; (2018); p. 4749 - 4753;";OB(O)C1=CC=CC2=C1OC1=C2C=CC=C1.CSC1=C(C=CC(Br)=C1)C#N>>CSC1=C(C=CC(=C1)C1=CC=CC2=C1OC1=C2C=CC=C1)C#N;OB(O)C1=CC=CC2=C1OC1=C2C=CC=C1;CSC1=C(C=CC(Br)=C1)C#N;DMF:water,,Na2CO3,,PPh3
12359;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;90;PPh3;Pd[P(Ph)3]2Cl2;83.0;"Article; Tydlitat, Ji?i; Feckova, Michaela; le Poul, Pascal; Pytela, Old?ich; Klikar, Milan; Rodriguez-Lopez, Julian; Robin-le Guen, Francoise; Achelle, Sylvain; European Journal of Organic Chemistry; vol. 2019; 9; (2019); p. 1921 - 1930;";COC1=CC=C(S1)C1=CC=C(C=C1)N(C1=CC=C(Br)C=C1)C1=CC=C(C=C1)C1=CC=C(OC)S1.OB(O)C1=CC=NC=C1>>COC1=CC=C(S1)C1=CC=C(C=C1)N(C1=CC=C(C=C1)C1=CC=C(OC)S1)C1=CC=C(C=C1)C1=CC=NC=C1;OB(O)C1=CC=NC=C1;COC1=CC=C(S1)C1=CC=C(C=C1)N(C1=CC=C(Br)C=C1)C1=CC=C(C=C1)C1=CC=C(OC)S1;1,4-dioxane:water,,Na2CO3,,PPh3
12360;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;90;PPh3;Pd[P(Ph)3]2Cl2;78.0;"Article; Tydlitat, Ji?i; Feckova, Michaela; le Poul, Pascal; Pytela, Old?ich; Klikar, Milan; Rodriguez-Lopez, Julian; Robin-le Guen, Francoise; Achelle, Sylvain; European Journal of Organic Chemistry; vol. 2019; 9; (2019); p. 1921 - 1930;";OB(O)C1=CC=NC=C1.COC1=CC=C(C=C1)N(C1=CC=C(Br)C=C1)C1=CC=C(OC)C=C1>>COC1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(C=C1)C1=CC=NC=C1;OB(O)C1=CC=NC=C1;COC1=CC=C(C=C1)N(C1=CC=C(Br)C=C1)C1=CC=C(OC)C=C1;1,4-dioxane:water,,Na2CO3,,PPh3
12380;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;120;PPh3;Pd[P(Ph)3]4;30.0;"Article; Tsou, Hwei-Ru; Otteng, Mercy; Tran, Tritin; Floyd Jr., M. Brawner; Reich, Marvin; Birnberg, Gary; Kutterer, Kristina; Ayral-Kaloustian, Semiramis; Ravi, Malini; Nilakantan, Ramaswamy; Grillo, Mary; McGinnis, John P.; Rabindran, Sridhar K.; Journal of Medicinal Chemistry; vol. 51; 12; (2008); p. 3507 - 3525;";OB(O)C1=CSC=C1.BrC1=CC2=C(C=C1)C(=O)NC(=O)\C2=C/NC1=CC=C(CN2CCCCC2)C=C1>>O=C1NC(=O)C2=C(C=C(C=C2)C2=CSC=C2)\C1=C\NC1=CC=C(CN2CCCCC2)C=C1;OB(O)C1=CSC=C1;BrC1=CC2=C(C=C1)C(=O)NC(=O)\C2=C/NC1=CC=C(CN2CCCCC2)C=C1;DMF:water,,Na2CO3,,PPh3
12381;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;120;PPh3;Pd[P(Ph)3]4;32.0;"Article; Tsou, Hwei-Ru; Otteng, Mercy; Tran, Tritin; Floyd Jr., M. Brawner; Reich, Marvin; Birnberg, Gary; Kutterer, Kristina; Ayral-Kaloustian, Semiramis; Ravi, Malini; Nilakantan, Ramaswamy; Grillo, Mary; McGinnis, John P.; Rabindran, Sridhar K.; Journal of Medicinal Chemistry; vol. 51; 12; (2008); p. 3507 - 3525;";BrC1=CC2=C(C=C1)C(=O)NC(=O)\C2=C/NC1=CC=C(CN2CCCCC2)C=C1.OB(O)C1=COC=C1>>O=C1NC(=O)C2=CC=C(C=C2\C1=C\NC1=CC=C(CN2CCCCC2)C=C1)C1=COC=C1;OB(O)C1=COC=C1;BrC1=CC2=C(C=C1)C(=O)NC(=O)\C2=C/NC1=CC=C(CN2CCCCC2)C=C1;DMF:water,,Na2CO3,,PPh3
12382;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;120;PPh3;Pd[P(Ph)3]4;34.0;"Article; Tsou, Hwei-Ru; Otteng, Mercy; Tran, Tritin; Floyd Jr., M. Brawner; Reich, Marvin; Birnberg, Gary; Kutterer, Kristina; Ayral-Kaloustian, Semiramis; Ravi, Malini; Nilakantan, Ramaswamy; Grillo, Mary; McGinnis, John P.; Rabindran, Sridhar K.; Journal of Medicinal Chemistry; vol. 51; 12; (2008); p. 3507 - 3525;";BrC1=CC2=C(C=C1)C(=O)NC(=O)\C2=C/NC1=CC=C(CN2CCCCC2)C=C1.OB(O)C1=CC=CN=C1>>O=C1NC(=O)C2=CC=C(C=C2\C1=C\NC1=CC=C(CN2CCCCC2)C=C1)C1=CN=CC=C1;OB(O)C1=CC=CN=C1;BrC1=CC2=C(C=C1)C(=O)NC(=O)\C2=C/NC1=CC=C(CN2CCCCC2)C=C1;DMF:water,,Na2CO3,,PPh3
12388;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;90;PPh3;Pd[P(Ph)3]4;77.0;"Article; Toyota, Kozo; Tsuji, Yasutomo; Okada, Kazuyuki; Morita, Noboru; Heterocycles; vol. 78; 1; (2009); p. 127 - 138;";OB(O)C1=CSC=C1.CCCCCCC1=CC=C(C=C1)C#CC1=C(C=CS1)C1=CC=C(Br)C=C1>>CCCCCCC1=CC=C(C=C1)C#CC1=C(C=CS1)C1=CC=C(C=C1)C1=CSC=C1;OB(O)C1=CSC=C1;CCCCCCC1=CC=C(C=C1)C#CC1=C(C=CS1)C1=CC=C(Br)C=C1;1,4-dioxane:water,,K3PO4,,PPh3
12389;toluene,,water;polarAromatic;sodium carbonate;carbonate;80;PPh3;palladium diacetate;65.0;"Article; Dalai, Suryakanta; Es-Sayed, Mazen; Noetzel, Marcus; De Meijere, Armin; European Journal of Organic Chemistry; 21; (2008); p. 3709 - 3713;";OB(O)C1=CSC=C1.CN(C(=O)C1OC(=NC11CC1)C1=CC=C(Br)C=C1)C1=CC=CC(=C1)C(F)(F)F>>CN(C(=O)C1OC(=NC11CC1)C1=CC=C(C=C1)C1=CSC=C1)C1=CC=CC(=C1)C(F)(F)F;OB(O)C1=CSC=C1;CN(C(=O)C1OC(=NC11CC1)C1=CC=C(Br)C=C1)C1=CC=CC(=C1)C(F)(F)F;Toluene:water,,Na2CO3,,PPh3
12391;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;120;PPh3;Pd[P(Ph)3]4;72.0;"Article; Sahu, Krishnendu B.; Hazra, Abhijit; Paira, Priyankar; Saha, Pritam; Naskar, Subhendu; Paira, Rupankar; Banerjee, Sukdeb; Sahu, Niranjan P.; Mondal, Nirup B.; Luger, Peter; Weber, Manuela; Tetrahedron; vol. 65; 34; (2009); p. 6941 - 6949;";OB(O)C1=CC=CO1.ClC1=CC(I)=C2OCC3=C(CN4C(=O)C=CC1=C24)C=CC=C3>>ClC1=CC(C2=CC=CO2)=C2OCC3=C(CN4C(=O)C=CC1=C24)C=CC=C3;OB(O)C1=CC=CO1;ClC1=CC(I)=C2OCC3=C(CN4C(=O)C=CC1=C24)C=CC=C3;DMF:water,,Na2CO3,,PPh3
12423;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;120;PPh3;Pd[P(Ph)3]4;92.0;"Article; Mehta, Vaibhav P.; Modha, Sachin G.; Ruijter, Eelco; Van Hecke, Kristof; Van Meervelt, Luc; Pannecouque, Christophe; Balzarini, Jan; Orru, Romano V. A.; Van Der Eycken, Erik; Journal of Organic Chemistry; vol. 76; 8; (2011); p. 2828 - 2839;";COC(=O)C1=CC(OC)=CC=C1Br.OB(O)C1=C(SC=C1)C=O>>COC(=O)C1=C(C=CC(OC)=C1)C1=C(SC=C1)C=O;OB(O)C1=C(SC=C1)C=O;COC(=O)C1=CC(OC)=CC=C1Br;1,4-dioxane:water,,Na2CO3,,PPh3
12449;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;85;PPh3;Pd[P(Ph)3]4;94.0;"Article; Kuhl, Nadine; Hopkinson, Matthew N.; Glorius, Frank; Angewandte Chemie - International Edition; vol. 51; 33; (2012); p. 8230 - 8234;";OB(O)C1=CSC=C1.FC1=CC=C(I)C=C1>>FC1=CC=C(C=C1)C1=CSC=C1;OB(O)C1=CSC=C1;FC1=CC=C(I)C=C1;DMF:water,,Na2CO3,,PPh3
12460;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;95;P(cychex)3;Pd2(dba)3;87.0;"Article; Harris, Michael R.; Hanna, Luke E.; Greene, Margaret A.; Moore, Curtis E.; Jarvo, Elizabeth R.; Journal of the American Chemical Society; vol. 135; 9; (2013); p. 3303 - 3306;";OB(O)C1=COC=C1.O[C@@H](C1=CC=CC=C1)C1=CC=C(Br)C=C1>>O[C@@H](C1=CC=CC=C1)C1=CC=C(C=C1)C1=COC=C1;OB(O)C1=COC=C1;O[C@@H](C1=CC=CC=C1)C1=CC=C(Br)C=C1;1,4-dioxane:water,,K3PO4,,Pcy3
12477;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;85;PPh3;Pd[P(Ph)3]4;86.0;"Article; Tang, Dan-Tam D.; Collins, Karl D.; Ernst, Johannes B.; Glorius, Frank; Angewandte Chemie - International Edition; vol. 53; 7; (2014); p. 1809 - 1813; Angew. Chem.; vol. 126; 07; (2014); p. 1840 - 1844,5;";IC1=CC=CC=C1.OB(O)C1=CC=C2SC=CC2=C1>>S1C=CC2=CC(=CC=C12)C1=CC=CC=C1;OB(O)C1=CC=C2SC=CC2=C1;IC1=CC=CC=C1;DMF:water,,Na2CO3,,PPh3
12483;toluene,,water;polarAromatic;sodium carbonate;carbonate;95;PPh3;Pd[P(Ph)3]4;85.0;"Article; Tang, Xiangyang; Yao, Liang; Liu, He; Shen, Fangzhong; Zhang, Shitong; Zhang, Huanhuan; Lu, Ping; Ma, Yuguang; Chemistry - A European Journal; vol. 20; 25; (2014); p. 7589 - 7592;";BrC1=CC=C(C=C1)[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C(C=C1)C(=C(/C1=CC=CC=C1)C1=CC=CC=C1)\C1=CC=CC=C1.OB(O)C1=CC=NC=C1>>C1=CC=C(C=C1)C(=C(\C1=CC=CC=C1)C1=CC=C(C=C1)[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=NC=C1)\C1=CC=CC=C1;OB(O)C1=CC=NC=C1;BrC1=CC=C(C=C1)[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C(C=C1)C(=C(/C1=CC=CC=C1)C1=CC=CC=C1)\C1=CC=CC=C1;Toluene:water,,Na2CO3,,PPh3
12489;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;95;PPh3;palladium diacetate;70.0;"Article; Dhara, Shubhendu; Singha, Raju; Ahmed, Atiur; Mandal, Haridas; Ghosh, Munmun; Nuree, Yasin; Ray, Jayanta K.; RSC Advances; vol. 4; 85; (2014); p. 45163 - 45167;";CC1=CC=C(C=C1)S(=O)(=O)NC1=C(I)C=C(F)C=C1.OB(O)C1=CC(Cl)=NC=C1>>CC1=CC=C(C=C1)S(=O)(=O)NC1=C(C=C(F)C=C1)C1=CC(Cl)=NC=C1;OB(O)C1=CC(Cl)=NC=C1;CC1=CC=C(C=C1)S(=O)(=O)NC1=C(I)C=C(F)C=C1;1,4-dioxane:water,,Na2CO3,,PPh3
12523;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;95;PPh3;Pd[P(Ph)3]2Cl2;96.0;"Article; Lund, Bjarte Aarmo; Christopeit, Tony; Guttormsen, Yngve; Bayer, Annette; Leiros, Hanna-Kirsti S.; Journal of Medicinal Chemistry; vol. 59; 11; (2016); p. 5542 - 5554;";OC(=O)C1=CC(Br)=CC(Br)=C1.OB(O)C1=CC=NC=C1.OB(O)C1=CC=NC=C1>>OC(=O)C1=CC(=CC(=C1)C1=CC=NC=C1)C1=CC=NC=C1;OB(O)C1=CC=NC=C1;O=C(O)c1cc(Br)cc(-c2ccncc2)c1;1,4-dioxane:water,,K3PO4,,PPh3
12569;N,N-dimethyl-formamide,,water;polar;potassium phosphate;phosphate;150;PPh3;Pd[P(Ph)3]4;71.0;"Article; Lu, Xiao; Kim, Myunghoon; Orr, Meghan J.; Li, Hao; Huang, Wenwei; European Journal of Organic Chemistry; vol. 2018; 13; (2018); p. 1572 - 1580;";BrC1=CC=C2N=CC3=C(N(C(=O)N3)C3=CC=CC=C3)C2=C1.OB(O)C1=CC=CN=C1>>O=C1NC2=C(N1C1=CC=CC=C1)C1=C(C=CC(=C1)C1=CN=CC=C1)N=C2;OB(O)C1=CC=CN=C1;BrC1=CC=C2N=CC3=C(N(C(=O)N3)C3=CC=CC=C3)C2=C1;DMF:water,,K3PO4,,PPh3
12570;N,N-dimethyl-formamide,,water;polar;potassium phosphate;phosphate;150;PPh3;Pd[P(Ph)3]4;67.0;"Article; Lu, Xiao; Kim, Myunghoon; Orr, Meghan J.; Li, Hao; Huang, Wenwei; European Journal of Organic Chemistry; vol. 2018; 13; (2018); p. 1572 - 1580;";CN1C(=O)N(C2=C3C=C(Br)C=CC3=NC=C12)C1=CC=C(F)C=C1.OB(O)C1=COC=C1>>CN1C(=O)N(C2=C1C=NC1=C2C=C(C=C1)C1=COC=C1)C1=CC=C(F)C=C1;OB(O)C1=COC=C1;CN1C(=O)N(C2=C3C=C(Br)C=CC3=NC=C12)C1=CC=C(F)C=C1;DMF:water,,K3PO4,,PPh3
12584;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;34.0;"Article; Wang, Xia; Tang, Yue; Long, Cheng-Yu; Dong, Wen-Ke; Li, Chenchen; Xu, Xinhua; Zhao, Wanxiang; Wang, Xue-Qiang; Organic Letters; vol. 20; 16; (2018); p. 4749 - 4753;";OB(O)C1=CSC=C1.CSC1=C(C=CC(Br)=C1)C#N>>CSC1=C(C=CC(=C1)C1=CSC=C1)C#N;OB(O)C1=CSC=C1;CSC1=C(C=CC(Br)=C1)C#N;DMF:water,,Na2CO3,,PPh3
12589;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;105;PPh3;Pd[P(Ph)3]4;55.7;"Article; Nam, Seong; Ware, David C.; Brothers, Penelope J.; Organic and Biomolecular Chemistry; vol. 16; 35; (2018); p. 6460 - 6469;";OC1=C(C=O)C=C(Br)C=C1N(=O)=O.OB(O)C1=CC=NC=C1>>OC1=C(C=O)C=C(C=C1N(=O)=O)C1=CC=NC=C1;OB(O)C1=CC=NC=C1;OC1=C(C=O)C=C(Br)C=C1N(=O)=O;DMF:water,,Na2CO3,,PPh3
12595;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;65;SPhos;palladium diacetate;99.0;"Article; Boddy, Alexander J.; Affron, Dominic P.; Cordier, Christopher J.; Rivers, Emma L.; Spivey, Alan C.; Bull, James A.; Angewandte Chemie - International Edition; vol. 58; 5; (2019); p. 1458 - 1462; Angew. Chem.; vol. 131; 5; (2019); p. 1472 - 1476,5;";CCOC(=O)C1(CCCN1C(=O)OC(C)(C)C)C1=CC=C(Br)C=C1.OB(O)C1=CC=CN=C1>>CCOC(=O)C1(CCCN1C(=O)OC(C)(C)C)C1=CC=C(C=C1)C1=CC=CN=C1;OB(O)C1=CC=CN=C1;CCOC(=O)C1(CCCN1C(=O)OC(C)(C)C)C1=CC=C(Br)C=C1;1,4-dioxane:water,,K3PO4,,SPhos
12596;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;100;PPh3;Pd[P(Ph)3]2Cl2;90.0;"Article; Fu, Liangbing; Xu, Mizhi; Yu, Jiyao; Gutekunst, Will R.; Journal of the American Chemical Society; vol. 141; 7; (2019); p. 2906 - 2910;";COC(=O)C1=C(Br)C=C(OC)C=C1.OB(O)C1=CC=CN=C1>>COC(=O)C1=C(C=C(OC)C=C1)C1=CC=CN=C1;OB(O)C1=CC=CN=C1;COC(=O)C1=C(Br)C=C(OC)C=C1;1,4-dioxane:water,,Na2CO3,,PPh3
12661;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;80;SPhos;Pd2(dba)3;82.0;"Article; Cross, R. Matthew; Maignan, Jordany R.; Mutka, Tina S.; Luong, Lisa; Sargent, Justin; Kyle, Dennis E.; Manetsch, Roman; Journal of Medicinal Chemistry; vol. 54; 13; (2011); p. 4399 - 4426;";BrC1=CC=C2NC3=C(CSCC3)C(=O)C2=C1.OB(O)C1=CC=CN=C1>>O=C1C2=C(CCSC2)NC2=CC=C(C=C12)C1=CN=CC=C1;OB(O)C1=CC=CN=C1;BrC1=CC=C2NC3=C(CSCC3)C(=O)C2=C1;DMF:water,,Na2CO3,,SPhos
12700;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;120;PPh3;Pd[P(Ph)3]2Cl2;75.0;"Article; Havaidar, Freddy H.; Burudkar, Sandeep M.; Indian Journal of Heterocyclic Chemistry; vol. 21; 1; (2011); p. 23 - 28;";BrC1=CC=C2NC(=O)C(=O)C2=C1.OB(O)C1=CC=CN=C1>>O=C1NC2=CC=C(C=C2C1=O)C1=CC=CN=C1;OB(O)C1=CC=CN=C1;BrC1=CC=C2NC(=O)C(=O)C2=C1;DMF:water,,Na2CO3,,PPh3
12711;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;130;P(cychex)3;Pd2(dba)3;83.0;"Article; Li, Liangchun; Matsuda, Ryotaro; Tanaka, Iku; Sato, Hiroshi; Kanoo, Prakash; Jeon, Hyung Joon; Foo, Maw Lin; Wakamiya, Atsushi; Murata, Yasujiro; Kitagawa, Susumu; Journal of the American Chemical Society; vol. 136; 21; (2014); p. 7543 - 7546;";CC1(C)N([O])C(C)(C)C2=C(Br)C=CC(Br)=C12.OB(O)C1=CC=NC=C1>>CC1(C)N([O])C(C)(C)C2=C(C=CC(=C12)C1=CC=NC=C1)C1=CC=NC=C1;OB(O)C1=CC=NC=C1;CC1(C)c2c(Br)ccc(-c3ccncc3)c2C(C)(C)N1[O];1,4-dioxane:water,,K3PO4,,Pcy3
12745;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;80;dppf;Pd(dppf)Cl2;79.0;"Article; Yokokawa, Fumiaki; Nilar, Shahul; Noble, Christian G.; Lim, Siew Pheng; Rao, Ranga; Tania, Stefani; Wang, Gang; Lee, Gladys; Hunziker, Juerg; Karuna, Ratna; Manjunatha, Ujjini; Shi, Pei-Yong; Smith, Paul W.; Journal of Medicinal Chemistry; vol. 59; 8; (2016); p. 3935 - 3952;";OB(O)C1=CC=CS1.COC(=O)C1=C(OC)C=C(OC)C(Br)=C1>>COC(=O)C1=C(OC)C=C(OC)C(=C1)C1=CC=CS1;OB(O)C1=CC=CS1;COC(=O)C1=C(OC)C=C(OC)C(Br)=C1;1,4-dioxane:water,,K3PO4,,dppf
12747;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;85;PPh3;Pd[P(Ph)3]4;83.0;"Article; Hong, Jung-Ho; Aslam, Adil S.; Ishida, Masatoshi; Mori, Shigeki; Furuta, Hiroyuki; Cho, Dong-Gyu; Journal of the American Chemical Society; vol. 138; 15; (2016); p. 4992 - 4995;";IC1=C2C=C(C=O)C=CC2=CC=C1.OB(O)C1=CC=C(S1)C=O>>O=CC1=CC=C(S1)C1=CC=CC2=CC=C(C=O)C=C12;OB(O)C1=CC=C(S1)C=O;IC1=C2C=C(C=O)C=CC2=CC=C1;DMF:water,,Na2CO3,,PPh3
12759;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;95;PPh3;Pd[P(Ph)3]4;80.0;"Article; Chen, Qiwei; Cramer, Jacob R.; Liu, Jing; Jin, Xin; Liao, Peilin; Shao, Xiang; Gothelf, Kurt V.; Wu, Kai; Angewandte Chemie - International Edition; vol. 56; 18; (2017); p. 5026 - 5030; Angew. Chem.; vol. 129; (2017); p. 5108 - 5112,5;";OB(O)C1=CC(F)=NC(F)=C1.BrC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(Br)C=C1>>FC1=CC(=CC(F)=N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC(F)=NC(F)=C1;OB(O)C1=CC(F)=NC(F)=C1;Fc1cc(-c2ccc(-c3ccc(-c4ccc(Br)cc4)cc3)cc2)cc(F)n1;DMF:water,,Na2CO3,,PPh3
12771;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]2Cl2;82.0;"Article; Zhou, Fei; Liu, Sheng; Santarsiero, Bernard D.; Wink, Donald J.; Boudinet, Damien; Facchetti, Antonio; Driver, Tom; Chemistry - A European Journal; vol. 23; 51; (2017); p. 12542 - 12549;";OB(O)C1=CC=CS1.COC1=C(OC)C=C(Br)C(N)=C1>>COC1=C(OC)C=C(C2=CC=CS2)C(N)=C1;OB(O)C1=CC=CS1;COC1=C(OC)C=C(Br)C(N)=C1;1,4-dioxane:water,,Na2CO3,,PPh3
12772;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]2Cl2;75.0;"Article; Zhou, Fei; Liu, Sheng; Santarsiero, Bernard D.; Wink, Donald J.; Boudinet, Damien; Facchetti, Antonio; Driver, Tom; Chemistry - A European Journal; vol. 23; 51; (2017); p. 12542 - 12549;";OB(O)C1=CC=CS1.NC1=C(Br)C=CC(=C1)C(F)(F)F>>NC1=CC(=CC=C1C1=CC=CS1)C(F)(F)F;OB(O)C1=CC=CS1;NC1=C(Br)C=CC(=C1)C(F)(F)F;1,4-dioxane:water,,Na2CO3,,PPh3
12785;N,N-dimethyl-formamide,,water;polar;potassium phosphate;phosphate;150;PPh3;Pd[P(Ph)3]4;62.0;"Article; Lu, Xiao; Kim, Myunghoon; Orr, Meghan J.; Li, Hao; Huang, Wenwei; European Journal of Organic Chemistry; vol. 2018; 13; (2018); p. 1572 - 1580;";CN1C(=O)N(C2=C1C=NC1=CC=C(Br)C=C21)C1=CC=CC=C1.OB(O)C1=CC=CN=C1>>CN1C(=O)N(C2=C1C=NC1=C2C=C(C=C1)C1=CN=CC=C1)C1=CC=CC=C1;OB(O)C1=CC=CN=C1;CN1C(=O)N(C2=C1C=NC1=CC=C(Br)C=C21)C1=CC=CC=C1;DMF:water,,K3PO4,,PPh3
